7581.4	1869	211.2	1269.1	1948.9	560.4	757.7	33.5	94.4	58.4	72.5	299.4	134.7	48.2	88.4	2.2	2.3	1.2	2.9	48.2	27.4	6	24.5	7.7	4	4.5	4.6	268.9	1.3	26.2	125.9	46.2	5.6	53	10.7
7710.7	1775.2	232.8	1251.1	2063.5	583.9	784.7	37.1	94.4	58.5	84.4	311.8	140.4	47.6	99.4	2.7	3.6	2.1	3.4	45.1	30.1	6.3	26.4	7.4	5	5.8	7.8	384.7	1.9	70.1	182.3	44.6	6.8	70.3	8.6
8872.4	1987.2	272.5	1437.2	2415.2	637.2	901.5	45.9	109.6	63.6	90.1	351	186.3	60.9	121.9	4.5	3.5	3.4	3.5	57.1	38.2	9.4	36.1	10.9	8.1	7.6	10	418.3	2.6	46.1	216.9	65.8	12.7	56.1	18.1
7369	1713.5	232	1257.7	1989.5	484.7	750	37.2	88.1	45.7	68	276.3	127.1	49.7	99.8	2	2.9	2.7	3	48.4	30.5	6.6	26.9	9.6	4.1	6.6	6.5	323.6	2.3	36	167.4	55.8	11.1	38.9	12.1
7952.8	1824.9	239.9	1311.3	2171.9	578.3	820.5	37.9	95.2	54.5	76.3	279.3	135.8	50.8	106.4	2.3	2.5	4.5	2.3	59.5	34.5	8.2	26.4	11.8	5.1	4.5	8.3	343.1	1.9	44	179	55.9	5.3	42.6	14.5
8346.5	1961	241	1417.6	2146.4	565.9	930.5	41.3	104.3	60.8	80.3	282.8	159.2	51	101.5	3	2.4	2.9	2.8	68.1	43.6	19.2	28.8	12.2	4.5	5.7	9.9	394.7	2.1	51.6	200	61.6	6.9	58.3	14.2
6354.4	1572	213.5	1029.6	1653.6	439.5	660.9	29.4	67.6	46.4	63.1	240.4	80	35.1	73.8	2.5	1.7	2.6	2.1	50.4	27.5	13.9	22.1	8.6	3.5	4.8	9.9	295.1	2.3	28.9	147.9	53.4	4.2	46.4	12.1
6431.8	1356.1	207.2	1215.3	1851.9	298.8	681.5	29.9	88.5	41.4	55.4	198.5	126.2	45.8	85.8	5.8	2.1	4.4	3.7	51.5	29.9	5.1	23.2	7.2	2.9	5.5	8.2	327.9	1.4	38.6	152.4	58.3	8.3	57.7	11.2
8150.9	1859.6	219.3	1466	2151.2	574.9	798.6	57.4	99.8	61.1	76.9	303.5	147.2	53	103.4	2	3.1	3.8	3.6	66.8	34.6	9.1	27.4	9.9	3.6	5.5	9.6	396.1	2.4	44.8	196.7	54.3	9.6	72.4	15.8
8308.4	1882.6	230.6	1437.3	2193.9	601	868.9	32.9	100.3	60.4	76.4	309.1	157.8	50.1	106.5	6.7	3.2	3.9	3.4	67.9	35.7	18.6	28.2	11.3	5.5	7.4	8.8	415.9	2.2	45.4	180.7	77.9	9.3	84.4	16
7994.9	1795	219.9	1392.7	2061.4	593.8	866.3	39.2	100.6	57.5	75.3	291.5	154	63.7	99.6	3.3	2.9	3.2	3.5	64.2	41.1	8.8	26.7	10.9	3.8	6.6	9.3	398	2.2	40.9	166.2	78.1	9.8	86.2	14.7
6809.6	1610.5	222.1	1195.9	1804.9	472.6	613.9	30.6	84.6	53.9	68.5	242.7	126.7	51.7	74.4	1.6	2.3	4.9	3.9	61.7	32.8	7	18.8	7.3	2.9	5.4	8.3	327.6	1.6	32.6	120.7	74.5	9.8	73	15.5
7877.3	1907.6	223.2	1290.1	2040.2	585	808.5	37.5	91	56.6	75.3	295.1	142	60.8	93.5	2.1	2	4.8	2.6	62	34	6.9	29.3	11.1	4.2	6.4	5.7	346.4	1.6	38.3	159.9	55.5	6.3	67	17.7
8038.7	1863.4	247.6	1329.9	2096.6	581.5	822.4	43.4	93.3	65.6	82	315	143.1	59.4	105.3	5.6	3.2	2.7	2.9	63.4	39.9	9.3	31.6	12.4	3.6	5.5	10	421.8	1.8	39.2	182.8	69.3	10.9	100.7	17.2
